model,public_f1,threshold,accuracy,precision,recall,positive_predictions
fine_blend_logreg_0.741_tabicl_0.259,0.564282580078982,0.43734115176888366,0.669,0.46159368269921036,0.7257336343115124,1393
fine_blend_logreg_0.743_tabicl_0.257,0.564282580078982,0.43768064110486593,0.669,0.46159368269921036,0.7257336343115124,1393
fine_blend_logreg_0.742_tabicl_0.258,0.564282580078982,0.43756741554270423,0.669,0.46159368269921036,0.7257336343115124,1393
fine_blend_logreg_0.755_tabicl_0.245,0.5641476274165202,0.44050884460237216,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.754_tabicl_0.246,0.5641476274165202,0.44028258082855154,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.756_tabicl_0.244,0.5641476274165202,0.44073510837619273,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.761_tabicl_0.239,0.5641476274165202,0.4417649831326939,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.760_tabicl_0.240,0.5641476274165202,0.44157908399633816,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.759_tabicl_0.241,0.5641476274165202,0.4413931848599824,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.758_tabicl_0.242,0.5641476274165202,0.441187635923834,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.757_tabicl_0.243,0.5641476274165202,0.4409613721500133,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.765_tabicl_0.235,0.5641476274165202,0.44250857967811685,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.766_tabicl_0.234,0.5641476274165202,0.44269447881447255,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.762_tabicl_0.238,0.5641476274165202,0.44195088226904966,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.769_tabicl_0.231,0.5641476274165202,0.4432521762235398,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.768_tabicl_0.232,0.5641476274165202,0.44306627708718405,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.767_tabicl_0.233,0.5641476274165202,0.44288037795082835,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.770_tabicl_0.230,0.5641476274165202,0.4434380753598955,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390
fine_blend_logreg_0.737_tabicl_0.263,0.5640350877192982,0.43643609667360117,0.6686666666666666,0.4612625538020086,0.7257336343115124,1394
fine_blend_logreg_0.740_tabicl_0.260,0.5640350877192982,0.43711488799506304,0.6686666666666666,0.4612625538020086,0.7257336343115124,1394
fine_blend_logreg_0.736_tabicl_0.264,0.5640350877192982,0.4362098328997806,0.6686666666666666,0.4612625538020086,0.7257336343115124,1394
fine_blend_logreg_0.746_tabicl_0.254,0.5640350877192982,0.4380097520388931,0.6686666666666666,0.4612625538020086,0.7257336343115124,1394
fine_blend_logreg_0.744_tabicl_0.256,0.5640350877192982,0.4377903447495417,0.6686666666666666,0.4612625538020086,0.7257336343115124,1394
fine_blend_logreg_0.738_tabicl_0.262,0.5640350877192982,0.4366623604474218,0.6686666666666666,0.4612625538020086,0.7257336343115124,1394
fine_blend_logreg_0.739_tabicl_0.261,0.5640350877192982,0.4368886242212424,0.6686666666666666,0.4612625538020086,0.7257336343115124,1394
fine_blend_logreg_0.745_tabicl_0.255,0.5640350877192982,0.4379000483942174,0.6686666666666666,0.4612625538020086,0.7257336343115124,1394
fine_blend_logreg_0.730_tabicl_0.270,0.5638998682476943,0.43600210990566624,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.753_tabicl_0.247,0.5638998682476943,0.4400563170547309,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.749_tabicl_0.251,0.5638998682476943,0.43915126195944854,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.763_tabicl_0.237,0.5638998682476943,0.44213678140540535,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.764_tabicl_0.236,0.5638998682476943,0.4423226805417611,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.728_tabicl_0.272,0.5638998682476943,0.43563031163295474,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.750_tabicl_0.250,0.5638998682476943,0.4393775257332691,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.751_tabicl_0.249,0.5638998682476943,0.43960378950708967,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.752_tabicl_0.248,0.5638998682476943,0.4398300532809103,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.729_tabicl_0.271,0.5638998682476943,0.43581621076931054,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.735_tabicl_0.265,0.5638998682476943,0.43680301194746024,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.733_tabicl_0.267,0.5638998682476943,0.43655980731473343,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.732_tabicl_0.268,0.5638998682476943,0.4363739081783777,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.734_tabicl_0.266,0.5638998682476943,0.4366933083027845,0.669,0.46153846153846156,0.7246049661399548,1391
