public_f1,threshold,accuracy,precision,recall,positive_predictions,model
0.5645302897278315,0.43633435244792357,0.6693333333333333,0.4619252873563218,0.7257336343115124,1392,rand6299_logreg_0.7349_s42_0.1431_s7_0.0002_s99_0.0266_s123_0.0026_s2024_0.0568_s31415_0.0034_s2718_0.0323
0.5645302897278315,0.4376533595411125,0.6693333333333333,0.4619252873563218,0.7257336343115124,1392,rand18814_logreg_0.7419_s42_0.1850_s7_0.0193_s99_0.0064_s123_0.0006_s2024_0.0237_s31415_0.0085_s2718_0.0146
0.5645302897278315,0.4356218572367199,0.6693333333333333,0.4619252873563218,0.7257336343115124,1392,rand19016_logreg_0.7320_s42_0.1489_s7_0.0061_s99_0.0299_s123_0.0140_s2024_0.0131_s31415_0.0314_s2718_0.0245
0.5645302897278315,0.438205268241326,0.6693333333333333,0.4619252873563218,0.7257336343115124,1392,rand5403_logreg_0.7425_s42_0.1755_s7_0.0141_s99_0.0272_s123_0.0091_s2024_0.0083_s31415_0.0192_s2718_0.0040
0.5645302897278315,0.43709624094863325,0.6693333333333333,0.4619252873563218,0.7257336343115124,1392,rand5331_logreg_0.7377_s42_0.1477_s7_0.0048_s99_0.0326_s123_0.0053_s2024_0.0207_s31415_0.0229_s2718_0.0283
0.5645302897278315,0.4351615123442512,0.6693333333333333,0.4619252873563218,0.7257336343115124,1392,rand1251_logreg_0.7302_s42_0.1530_s7_0.0074_s99_0.0156_s123_0.0249_s2024_0.0077_s31415_0.0466_s2718_0.0146
0.5645302897278315,0.4356856527361787,0.6693333333333333,0.4619252873563218,0.7257336343115124,1392,rand1422_logreg_0.7344_s42_0.1217_s7_0.0043_s99_0.0140_s123_0.0027_s2024_0.0075_s31415_0.1122_s2718_0.0031
0.5645302897278315,0.43489055061586446,0.6693333333333333,0.4619252873563218,0.7257336343115124,1392,rand12396_logreg_0.7305_s42_0.1289_s7_0.0122_s99_0.0404_s123_0.0084_s2024_0.0010_s31415_0.0474_s2718_0.0312
0.5645302897278315,0.43731218305862485,0.6693333333333333,0.4619252873563218,0.7257336343115124,1392,rand16272_logreg_0.7396_s42_0.1354_s7_0.0008_s99_0.0118_s123_0.0200_s2024_0.0101_s31415_0.0789_s2718_0.0034
0.5645302897278315,0.4361917957528231,0.6693333333333333,0.4619252873563218,0.7257336343115124,1392,rand4037_logreg_0.7356_s42_0.1052_s7_0.0043_s99_0.0877_s123_0.0011_s2024_0.0111_s31415_0.0123_s2718_0.0427
0.5645302897278315,0.4361347300191699,0.6693333333333333,0.4619252873563218,0.7257336343115124,1392,rand4410_logreg_0.7332_s42_0.1762_s7_0.0380_s99_0.0130_s123_0.0197_s2024_0.0001_s31415_0.0183_s2718_0.0017
0.5645302897278315,0.4369236096423674,0.6693333333333333,0.4619252873563218,0.7257336343115124,1392,rand4152_logreg_0.7373_s42_0.1381_s7_0.0091_s99_0.0309_s123_0.0152_s2024_0.0267_s31415_0.0222_s2718_0.0204
0.5643956043956044,0.4413658129153229,0.6696666666666666,0.46220302375809935,0.7246049661399548,1389,rand16532_logreg_0.7587_s42_0.0877_s7_0.0001_s99_0.0042_s123_0.0082_s2024_0.0028_s31415_0.1155_s2718_0.0229
0.564282580078982,0.4351588361127734,0.669,0.46159368269921036,0.7257336343115124,1393,rand12760_logreg_0.7326_s42_0.0860_s7_0.0179_s99_0.0906_s123_0.0060_s2024_0.0111_s31415_0.0291_s2718_0.0267
0.564282580078982,0.4367108558449786,0.669,0.46159368269921036,0.7257336343115124,1393,rand11009_logreg_0.7383_s42_0.1167_s7_0.0097_s99_0.0337_s123_0.0065_s2024_0.0074_s31415_0.0302_s2718_0.0576
0.564282580078982,0.4365254913395762,0.669,0.46159368269921036,0.7257336343115124,1393,rand13001_logreg_0.7379_s42_0.1118_s7_0.0274_s99_0.0170_s123_0.0358_s2024_0.0007_s31415_0.0398_s2718_0.0296
0.564282580078982,0.436777056279541,0.669,0.46159368269921036,0.7257336343115124,1393,rand16969_logreg_0.7395_s42_0.1303_s7_0.0031_s99_0.0101_s123_0.0267_s2024_0.0130_s31415_0.0198_s2718_0.0575
0.564282580078982,0.43807830549692806,0.669,0.46159368269921036,0.7257336343115124,1393,rand1015_logreg_0.7458_s42_0.1932_s7_0.0163_s99_0.0011_s123_0.0024_s2024_0.0018_s31415_0.0121_s2718_0.0273
0.564282580078982,0.4344954505163965,0.669,0.46159368269921036,0.7257336343115124,1393,rand2906_logreg_0.7293_s42_0.0901_s7_0.0036_s99_0.1043_s123_0.0086_s2024_0.0013_s31415_0.0617_s2718_0.0010
0.564282580078982,0.436894036173616,0.669,0.46159368269921036,0.7257336343115124,1393,rand15525_logreg_0.7418_s42_0.1099_s7_0.0123_s99_0.0236_s123_0.0007_s2024_0.0178_s31415_0.0722_s2718_0.0217
0.564282580078982,0.4378291246345399,0.669,0.46159368269921036,0.7257336343115124,1393,rand17858_logreg_0.7430_s42_0.1426_s7_0.0101_s99_0.0457_s123_0.0079_s2024_0.0018_s31415_0.0008_s2718_0.0482
0.564282580078982,0.43447700585242344,0.669,0.46159368269921036,0.7257336343115124,1393,rand10761_logreg_0.7272_s42_0.1731_s7_0.0335_s99_0.0171_s123_0.0061_s2024_0.0017_s31415_0.0183_s2718_0.0229
0.564282580078982,0.4343305216692196,0.669,0.46159368269921036,0.7257336343115124,1393,rand17341_logreg_0.7270_s42_0.1516_s7_0.0232_s99_0.0274_s123_0.0163_s2024_0.0120_s31415_0.0413_s2718_0.0012
0.564282580078982,0.4350036790145063,0.669,0.46159368269921036,0.7257336343115124,1393,rand13095_logreg_0.7295_s42_0.1372_s7_0.0127_s99_0.0367_s123_0.0136_s2024_0.0555_s31415_0.0109_s2718_0.0039
0.564282580078982,0.4380229283503988,0.669,0.46159368269921036,0.7257336343115124,1393,rand1044_logreg_0.7446_s42_0.1359_s7_0.0180_s99_0.0132_s123_0.0119_s2024_0.0011_s31415_0.0379_s2718_0.0374
0.564282580078982,0.43624381445231664,0.669,0.46159368269921036,0.7257336343115124,1393,rand6496_logreg_0.7384_s42_0.0912_s7_0.0256_s99_0.0673_s123_0.0044_s2024_0.0136_s31415_0.0324_s2718_0.0271
0.564282580078982,0.43649313594774797,0.669,0.46159368269921036,0.7257336343115124,1393,rand11708_logreg_0.7393_s42_0.1040_s7_0.0103_s99_0.0116_s123_0.0090_s2024_0.0175_s31415_0.0693_s2718_0.0391
0.564282580078982,0.4353715507725079,0.669,0.46159368269921036,0.7257336343115124,1393,rand6795_logreg_0.7325_s42_0.1405_s7_0.0248_s99_0.0050_s123_0.0000_s2024_0.0196_s31415_0.0542_s2718_0.0233
0.564282580078982,0.43571291067443146,0.669,0.46159368269921036,0.7257336343115124,1393,rand4168_logreg_0.7337_s42_0.1380_s7_0.0309_s99_0.0065_s123_0.0077_s2024_0.0199_s31415_0.0612_s2718_0.0022
0.564282580078982,0.43685876814488755,0.669,0.46159368269921036,0.7257336343115124,1393,rand16424_logreg_0.7388_s42_0.1334_s7_0.0149_s99_0.0050_s123_0.0294_s2024_0.0209_s31415_0.0471_s2718_0.0105
0.564282580078982,0.43641767859163394,0.669,0.46159368269921036,0.7257336343115124,1393,rand7167_logreg_0.7377_s42_0.1217_s7_0.0021_s99_0.0053_s123_0.0277_s2024_0.0099_s31415_0.0231_s2718_0.0724
0.564282580078982,0.436990149048889,0.669,0.46159368269921036,0.7257336343115124,1393,rand4028_logreg_0.7397_s42_0.1201_s7_0.0001_s99_0.0354_s123_0.0312_s2024_0.0235_s31415_0.0489_s2718_0.0010
0.5642605633802817,0.4237587699813898,0.67,0.4624819624819625,0.7234762979683973,1386,rand11881_logreg_0.6608_s42_0.0217_s7_0.0087_s99_0.0103_s123_0.0116_s2024_0.0212_s31415_0.0563_s2718_0.2094
0.5642605633802817,0.42549311791740785,0.67,0.4624819624819625,0.7234762979683973,1386,rand3171_logreg_0.6701_s42_0.0119_s7_0.0065_s99_0.0236_s123_0.0083_s2024_0.0176_s31415_0.0516_s2718_0.2104
0.5641476274165202,0.4382973439285817,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390,rand12463_logreg_0.7462_s42_0.0809_s7_0.0014_s99_0.0211_s123_0.0016_s2024_0.0311_s31415_0.0977_s2718_0.0200
0.5641476274165202,0.4392953633109285,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390,rand8588_logreg_0.7501_s42_0.0773_s7_0.0099_s99_0.0245_s123_0.0145_s2024_0.0099_s31415_0.1073_s2718_0.0065
0.5641476274165202,0.43977909888383065,0.6693333333333333,0.4618705035971223,0.7246049661399548,1390,rand19213_logreg_0.7528_s42_0.0715_s7_0.0029_s99_0.0466_s123_0.0111_s2024_0.0029_s31415_0.0986_s2718_0.0137
0.5641251652710445,0.43110800673546235,0.6703333333333333,0.462762111352133,0.7223476297968398,1383,rand1020_logreg_0.6918_s42_0.0140_s7_0.0351_s99_0.0026_s123_0.0053_s2024_0.0161_s31415_0.2166_s2718_0.0187
0.5641251652710445,0.43258229620666394,0.6703333333333333,0.462762111352133,0.7223476297968398,1383,rand13624_logreg_0.6998_s42_0.0129_s7_0.0196_s99_0.0045_s123_0.0048_s2024_0.0140_s31415_0.2419_s2718_0.0025
0.5640350877192982,0.43571149494687617,0.6686666666666666,0.4612625538020086,0.7257336343115124,1394,rand8043_logreg_0.7334_s42_0.1448_s7_0.0567_s99_0.0110_s123_0.0224_s2024_0.0008_s31415_0.0143_s2718_0.0166
0.5640350877192982,0.4360580769262527,0.6686666666666666,0.4612625538020086,0.7257336343115124,1394,rand1965_logreg_0.7375_s42_0.1022_s7_0.0336_s99_0.0136_s123_0.0093_s2024_0.0016_s31415_0.0569_s2718_0.0453
0.5640350877192982,0.43572071695107295,0.6686666666666666,0.4612625538020086,0.7257336343115124,1394,rand6384_logreg_0.7359_s42_0.0639_s7_0.0002_s99_0.0641_s123_0.0361_s2024_0.0096_s31415_0.0573_s2718_0.0329
0.5640350877192982,0.4358248739169719,0.6686666666666666,0.4612625538020086,0.7257336343115124,1394,rand11653_logreg_0.7353_s42_0.1255_s7_0.0117_s99_0.0008_s123_0.0196_s2024_0.0528_s31415_0.0375_s2718_0.0168
0.5640350877192982,0.43553866291373533,0.6686666666666666,0.4612625538020086,0.7257336343115124,1394,rand3751_logreg_0.7324_s42_0.1454_s7_0.0293_s99_0.0126_s123_0.0133_s2024_0.0256_s31415_0.0095_s2718_0.0319
