model,public_f1,threshold,accuracy,precision,recall,positive_predictions
blend__logreg_c2_0.50__tabicl_n4_0.40__lightgbm_0.10,0.559410234171726,0.4049999999999999,0.6613333333333333,0.45422535211267606,0.7279909706546276,1420
blend__logreg_c2_0.60__tabicl_n4_0.30__xgboost_0.00__lightgbm_0.10,0.5593073593073593,0.41999999999999993,0.6606666666666666,0.45365168539325845,0.7291196388261851,1424
blend__logreg_c2_0.60__tabicl_n4_0.30__lightgbm_0.10,0.5593073593073593,0.41999999999999993,0.6606666666666666,0.45365168539325845,0.7291196388261851,1424
blend__logreg_c2_0.20__tabicl_n4_0.30__xgboost_0.00__lightgbm_0.50,0.5591872791519434,0.42999999999999994,0.6673333333333333,0.4593613933236575,0.7144469525959368,1378
blend__logreg_c2_0.20__tabicl_n4_0.30__lightgbm_0.50,0.5591872791519434,0.42999999999999994,0.6673333333333333,0.4593613933236575,0.7144469525959368,1378
blend__logreg_c2_0.80__tabicl_n4_0.10__xgboost_0.10__lightgbm_0.00,0.5591677503250976,0.4599999999999999,0.661,0.4539057002111189,0.7279909706546276,1421
blend__logreg_c2_0.80__tabicl_n4_0.10__xgboost_0.10,0.5591677503250976,0.4599999999999999,0.661,0.4539057002111189,0.7279909706546276,1421
blend__logreg_c2_0.10__tabicl_n4_0.90__xgboost_0.00,0.5590062111801242,0.29,0.645,0.44146500981033354,0.7618510158013544,1529
blend__logreg_c2_0.10__tabicl_n4_0.90__lightgbm_0.00,0.5590062111801242,0.29,0.645,0.44146500981033354,0.7618510158013544,1529
blend__logreg_c2_0.10__tabicl_n4_0.90__xgboost_0.00__lightgbm_0.00,0.5590062111801242,0.29,0.645,0.44146500981033354,0.7618510158013544,1529
blend__logreg_c2_0.10__tabicl_n4_0.90,0.5590062111801242,0.29,0.645,0.44146500981033354,0.7618510158013544,1529
blend__logreg_c2_0.70__tabicl_n4_0.10__xgboost_0.10__lightgbm_0.10,0.5589558955895589,0.4799999999999999,0.6733333333333333,0.4648203592814371,0.7009029345372461,1336
blend__logreg_c2_0.40__tabicl_n4_0.60__lightgbm_0.00,0.5588874402433724,0.36999999999999994,0.6616666666666666,0.45441696113074204,0.7257336343115124,1415
blend__logreg_c2_0.40__tabicl_n4_0.60__xgboost_0.00,0.5588874402433724,0.36999999999999994,0.6616666666666666,0.45441696113074204,0.7257336343115124,1415
blend__logreg_c2_0.40__tabicl_n4_0.60__xgboost_0.00__lightgbm_0.00,0.5588874402433724,0.36999999999999994,0.6616666666666666,0.45441696113074204,0.7257336343115124,1415
blend__logreg_c2_0.40__tabicl_n4_0.60,0.5588874402433724,0.36999999999999994,0.6616666666666666,0.45441696113074204,0.7257336343115124,1415
blend__logreg_c2_0.60__tabicl_n4_0.10__xgboost_0.10__lightgbm_0.20,0.558810274898603,0.4799999999999999,0.6736666666666666,0.46511627906976744,0.6997742663656885,1333
blend__logreg_c2_0.80__xgboost_0.10__lightgbm_0.10,0.5586791610887997,0.49499999999999994,0.6703333333333333,0.4619926199261993,0.7065462753950339,1355
blend__logreg_c2_0.80__tabicl_n4_0.00__xgboost_0.10__lightgbm_0.10,0.5586791610887997,0.49499999999999994,0.6703333333333333,0.4619926199261993,0.7065462753950339,1355
blend__logreg_c2_0.70__tabicl_n4_0.00__xgboost_0.10__lightgbm_0.20,0.5586238116794929,0.49999999999999994,0.675,0.46636432350718066,0.6963882618510158,1323
blend__logreg_c2_0.70__xgboost_0.10__lightgbm_0.20,0.5586238116794929,0.49999999999999994,0.675,0.46636432350718066,0.6963882618510158,1323
